company,role,location,start_date,end_date,summary,sort_order
WPP Media (tidligere GroupM),Data and Applications Support Engineer,København,2022-05-01,,"Supporterer og bygger på Azure-datastakken: Terraform som infrastructure as code samt SQL og serverless SQL integreret i Power BI-rapporter. Ejer sager i interne applikationer fra fejlmelding til rettelse — fejlsøgning på log-niveau, analyse af fejlkoder, work items i backloggen og rettelser implementeret med AI-kodning.",1
Camvision,First Line Support,Danmark,2021-08-01,2022-04-30,Telefonisk og remote support på overvågning og alarmer.,2
IThelpers,IT-supporter,Danmark,2021-02-01,2021-07-31,"Udkørende IT-support for privat- og erhvervskunder: internet-, mail- og printeropsætning samt fejlfinding af hardware og software på PC og Mac.",3
DUOS,Handicaphjælper,Danmark,2017-09-01,2020-12-31,"Daglig støtte til mennesker med handicap — her lærte jeg præcis, hvor grænsen mellem det professionelle og det personlige går.",4
Scandlines,Cateringassistent,Danmark,2014-03-01,2017-08-31,"Kundeservice om bord på færgerne, på tværs af nationaliteter.",5
